Hashtag,Tweet1,Tweet2,Tweet3,Tweet4,Tweet5,Tweet6,Tweet7,Tweet8,Tweet9,Tweet10,Tweet11,Tweet12,Tweet13,Tweet14,Tweet15,Tweet16,Tweet17,Tweet18,Tweet19,Tweet20,Average Likes,Summary
#supermoon,Tonight's Pink Supermoon rises behind the Brooklyn Bridge.  This is the first and one of only two supermoons of 202 https://t.co/wGVRHZ4wb6,"I tried my best to take some decent pictures of the pink moon 
#Supermoon #PinkSupermoon https://t.co/ZTDHkmcoqv",#Supermoon over #HatfieldKY @WYMT @brobwx @PaigeWYMT @JoshFitzWx @JimWKYT @spann @Kentuckyweather @WLKYChris https://t.co/RMoruQtmjn,Last night's #SuperMoon  https://t.co/1YVQbRveom,"FLY ME TO THE SUPER MOON AGAIN! Hey, I got another! @Delta Connection flight DL4669 transits the face of the Super https://t.co/kNdKT34LOz",A trail of gold shoots across the Tasman Sea as a #supermoon rises above Australias east coast. https://t.co/GcxVlY7Qrn,"There are some amazing photos of the moon on Twitter tonight. To balance it out, here's a shit photo. #Supermoon https://t.co/WhwoC614ab","Super 'Pink' Moon: Tonight Australia will see its first #Supermoon of 2021. The spectacle, also known as a 'pink moon', will be bigger and brighter than ever. Check-out the time-guide to make sure you don't miss out on an event that happens once in a pink moon. #supermoon2021 https://t.co/gBmmLjG7O0","SPECTACULAR! Full Supermoon seen tonight from Jackson, Minnesota. Photo courtesy of @JAllenPhotogra1 #Supermoon https://t.co/O6YWgo6IjF",Clouds in the City of St. Louis but  LaBella Luna shines through...  #Supermoon https://t.co/CwLtU8gesA,"In case you missed the show... Here's the SUPER PINK FULL MOON as seen gracing the skies over SW London last night. What a beauty, right? #Supermoon #FullMoon #superpinkfullmoon #PinkSupermoon #pinkfullmoon   @StormHour @ThePhotoHour https://t.co/zyh4VWLSCF","The April #Supermoon rising over Sydney CBD not too long ago ... caught with the DSLR. 

(Telescope pics coming soon!)

Related, I might need glasses cause *everything* was out of focus ... https://t.co/O3ys0Y4Sg3","In this place
Away from the cares of the world
My heart makes space
Memory expands and is unfurled
Ancestral arms w https://t.co/bjCCGzzUph","Tonight (as well as #ponyhour night) it's Egg Moon night imagine a #supermoon named after me ~ Eggsy Moon.
Okay it has lots of other names too like Hare Moon, Pink Moon, Sprouting Grass Moon, Fish Moon, Seed Moon, Waking Moon &amp; Hanuman's Moon but I'm sticking with Eggsy Moon  https://t.co/Re0K33l0kQ","Lovely frame @finnbarrw (@GettyImagesNews)
Pink #Supermoon over @EH_Stonehenge 
#photography #PinkSupermoon #Stonehenge https://t.co/T0rtGza7j5",STUNNING #SuperPinkMoon rising over #SanFrancisco bay tonight!  Enjoy!  #Supermoon #supermoon2021 #timelapse https://t.co/gJm3zNrtAF,she is very gorgeous to me #PINKMOON #Supermoon https://t.co/CAk9ynq0f3,11 year old took a better picture of the #Supermoon tonight than her father!! #PinkSupermoon https://t.co/3ekopxpMHR,Perks of living in the country. You can get super clear pictures of the moon when its in #supermoon mode.-Cole https://t.co/714zaNtiQu,The supermoon looking super fantastic on Galveston Island!  #thetexasbucketlist #supermoon https://t.co/ORI49S8REM,31.9,The tweet is about Super moon which was seen on April 28 is a super pink moon. It usually comes after April flower.
#marshelicopter,"Ingenuity #MarsHelicopter gives us the third dimension of Mars exploration, says @NASAJPL director Michael Watkins. https://t.co/tRiktYzSm7","Different times, same vibes. Todays #MarsHelicopter flight reminds @NASAPersevere imaging scientist Justin Maki of another project he worked on  the tiny Sojourner rover of 1997, which was also a tech demo. https://t.co/D5lWFktE2Y","Earlier today, @NASAs Ingenuity #MarsHelicopter became the first aircraft in history to make a powered, controlled https://t.co/FU8rzT9WSu",This was really an all hands on deck effort. Acting NASA Administrator Steve Jurczyk notes that many teams across https://t.co/AVNNnloNOL,"Esta es la secuencia en la que se ve al #MarsHelicopter #Ingenuity  volando en Marte. MOMENTO PARA LA HISTORIA.

https://t.co/UDBHsIgl79",O exato momento em que Ingenuity: helicóptero da Nasa voa pela primeira vez em Marte  #MarsHelicopter' https://t.co/8BtPxL0QrI,Congratulations to the #MarsHelicopter Team on your incredible achievement! I loved watching you cheer the altimete https://t.co/DCFa3nMif0,"The fact that the #MarsHelicopter has a call sign, a home airport designation, and even a logbook, makes me so happy  https://t.co/gDXfOla1kG",We dared mighty things!! #MarsHelicopter https://t.co/nHLH5gqU0h,"Sure, the #MarsHelicopter took flight on Mars, but now, it can soar around your browser. https://t.co/4q0uMt2OzZ",Congrats to Ingenuity for the first powered flight on Mars! #Mars2020 #MarsHelicopter  https://t.co/OsEYoqIDl0,Congratulations to @NASA @NASAPersevere for the 1st Helicopter Flight ever on another Planet..  This is a Huge Step https://t.co/oIWcdAq138,Ingenuity Project Manager MiMi Aung rips up the contingency plan after first successful #MarsHelicopter flight is c https://t.co/6Hh45QeHM7,És drónoztunk a Marson!  Hihetetlen komolyan! Remélem jönnek hamar képek!!  #NASA #NASAPerseverance https://t.co/dz5EhLOw24,"2000 years from now, no one will know about President Calvin Coolidge, or ZZ Top or the Berlin Wall. But humanity w https://t.co/rLKWlY5hWm",nsanlk tarihinde bir ilk! Mars helikopteri Ingenuity 287 milyon km ötedeki Kzl Gezegende ilk uçuunu baary https://t.co/y6it8dIj1u,#MarsHelicopter chief pilot Håvard Grip shares news that the International Civil Aviation Organization (@ICAO) has assigned a three-letter designator for Ingenuity: IGY-1. And its location: JZRO for Jezero Crater. https://t.co/l5iUkiysH2,"BREAKING: It happened. Today our #MarsHelicopter proved that powered, controlled flight from the surface of another https://t.co/zn4HbcGyCw",Congratulations from all here on the first flight of a powered aircraft on another planet! #MarsHelicopter https://t.co/KZiImCoV7A,"The @NASAPersevere Ingenuity flight has us inspired to build!  We  this awesome fan mini build of the #MarsHelicopter. Think you can engineer your own? 

Check out more of @CurtQ's Mars-inspired builds on Flickr  https://t.co/KappLyrXPs https://t.co/m6WGit8Pem",1293.25,NASA Sets Briefing to Discuss Ingenuity Mars Helicopter
#BETRemembersDMX,#BETRemembersDMX Chhhhhiiilllleee! What in the world!!!  Chhhhhiiilllleee.  Speechless.  #DMXMemorial #DMX #dmxfuneral #DMXCelebrationOfLife https://t.co/AlxEKFwnOn,"Tashera Simmons literally transitioning Desiree into that moment, was a QUEEN move. Period. I bow down to her for h https://t.co/NuboaCz7y7",Earl and Tashera really had and have something special!   #BETRemembersDMX https://t.co/Htcl5FOLwj,Russell Simmons phoning in everywhere but a deposition and that doesn't sit right with me. If he can't be extradite https://t.co/S2vL8YougS,The funeral might have been everything DMX represented; complicated with a lot of Jesus with equal amounts of hood and confusion but all love. #BETRemembersDMX,Whew! I love me a SINGER that knows how to close out! #BETRemembersDMX,Come on and take us home Faith! #BETRemembersDMX,I hope Faith Evans aint back on that powder. #BETRemembersDMX https://t.co/8qslrwaGfS,"welp...

welcome to Black homegoings...

#BETRemembersDMX #dmxfuneral https://t.co/WCzYA1QfxQ",No this man didnt just say Nipsey Russell #DMXMemorial #BETRemembersDMX https://t.co/E9vtSKa2m2,"Black pastors:

""I won't keep y'all long. I'll be short."" 

Congregation:

#BETRemembersDMX https://t.co/b6G4BgFmkO",Its the medley for me! #BETRemembersDMX https://t.co/jmi7zamBP4,Now we know who Swizz was talking about yesterday #BETRemembersDMX #dmxfuneral https://t.co/AfsvnCTf4L,LEANDRIA!!!!!!!!! Now THATS what the fuck Im talking about! #BETRemembersDMX,some stories you just dont have to share at someones funeral.  take that shit to your grave ok!!! #dmxfuneral #BETRemembersDMX https://t.co/LgjOXSyZ57,So beautiful to see these 2 women holding each other down #BETRemembersDMX https://t.co/I33MdPDtzo,Never seen a memorial service like that before &amp; @DMX was worth every minute of it. What a celebration of life that was. Rest easy in Heaven to the Dog. Thank you @BET for sharing that experience with the world. Hes gone but will NEVER be forgotten. #BETRemembersDMX #RIPDMX,Thank you BET for showing DMX's funeral and thank you Black Twitter for keeping me entertained as usual #BETRemembersDMX #DMXMemorial https://t.co/Rv9nlYk8oU,Faith Evans sounds HORRIBLE  #BETRemembersDMX https://t.co/ELUzQYDkZY,This is what happens when you let @BET air a funeral. DMX deserved better  #BETRemembersDMX https://t.co/R1YfS9SLrO,112.75,DMX passed away
#myanmar,"#Myanmar, a country where even rapists arent charged with death penalty, but Protesters who love Democracy and fig https://t.co/rSPmVczVuN","#IndiainUNSC

Watch : 

DPR @NagNaidu08 speaks in the Security Council Arria Formula meeting on #Myanmar  https://t.co/qen1LQ4o79","""Please take action now."" --&gt;

#Myanmar's ambassador to the #UN speaks at virtual event with Security Council membe https://t.co/8Q9FjO3vLy","This really is must-watch reporting by @ClarissaWard from Myanmar, where brutal violence by security forces has tak https://t.co/a4hW79pUvL","The EU and its member states should fully implement targeted sanctions that were imposed against the leadership of #Myanmars abusive military junta, and adopt additional sanctions against further military officials and military-owned companies. https://t.co/oLgGhGthDh https://t.co/fOTdeYxTKn","The military coup has overshadowed the genocide case against #Myanmar at the World Court, but the case will continu https://t.co/D59mbHBHiY",There has always been civil conflicts since independence. #Myanmar is barely a country till now. TMD makes themselv https://t.co/M1ja8eyCyy,"Distributed on the streets and in markets by young activists, these publications have the added advantage of reach https://t.co/mHPj2PpblU","Time is of the essence for us."" 
Please, please take action.

Following a massacre in Bago, residents have fled to borders as civilians continue to fear airstrikes in #Karen. Warnings of #Myanmar becoming 'ungovernable' becoming more prominent. 
https://t.co/pyTPmFfBI0","Cooperation btw ethnic actors, #CDM &amp; the General Strike Committees, supported by campaigners &amp; advocates from outside #Myanmar &amp; around the world, will bring down the military regime. This week highlight  #WhatsHappeningInMyanmar 
https://t.co/Zk7ZFljhJw",One must easily notice by now that TMD is regarded by vast majority of #Myanmar (except their followers and families) as a Fascist army and they are determined for total violence against the people. There is no reason at all to be cozy with them or defend them.,"Great thread on sabotage as resistance in #Myanmar then and now. Thanks @EdithMirante, your history threads have be https://t.co/EHNorxSS07",Arrest everyman on street.Make them remove street barriers.Shoot them if they defy (forced labor). Blow up barrier https://t.co/AqxxRVYQe1,"The citizens in #Myanmar elected a woman. The military generals refused to take orders from a woman, so they overth https://t.co/Di6q3fU4rD","""The death sentence against 19 people in #Myanmar is unacceptable and a deeply worrying development"" -  Foreign Minister #WhatsHappeninglnMyanmar

As  Secretary-General @antonioguterres principally has stated before: The #deathpenalty has no place in the 21st century. https://t.co/6QeMyZaQnx","#Myanmar's generosity is something I am really proud of. ""Meals to take away""left outside for those in need , a kind gesture becoming more common nowadays. Strong community spirit is one reason we don't see any lootings/petty crimes despite looming #Foodinsecurity! #Apr11Coup https://t.co/FDmGDZs0ff","More than 80 people killed in #Bago, #Myanmar/#Burma yesterday, with the military using heavy artillery against civilians

This barbarity and inhumanity must stop now

#SaveMyanmar #StandWithMyanmar #WhatsHappeningInMyanmar https://t.co/OQaYJxOwp2","Dr. Wai Yan Myo Lwin, a charity Doctor was arbitrarily ABDUCTED in #Bago this morning for the reasons of giving treatment to the injured SHOT by Junta Terrorists.
Doctors doing their professions become VICTIMS of arbitrary arrests in #Myanmar.
#WhatsHappeningInMyanmar
#Apr11Coup https://t.co/Yij7AxHKuM","Coincidently, I just came across their twitter too! Please follow and support them for their great works! @MolotovNewsMM #Myanmar https://t.co/mk9Q8Bx245","FM #EriksenSoreide: 
The military coup &amp; attacks against civilians in #Myanmar are unacceptable
#UNSC must send a https://t.co/Hr1QWJ3IJX",153.2,#SaveMyanmar
#ArmenianGenocide,"America now formally recognises the Armenian genocide. When will Britain?
#ArmenianGenocide 
https://t.co/PqrcOP9NdR","All you need to know about the so-called #ArmenianGenocide and the events of 1915

https://t.co/sPnAvZlC9w","A moment to thank two exceptional  without whom this probably would not have happened!
@anca_elizabeth + Aram Hamparian @ANCA_DC #Armeniangenocide

@POTUS said this because of you + all other #ANC activists
 https://t.co/kQWn4Nt05T",Well done everyone  #ArmenianGenocide https://t.co/ofITi3iBkO,"#Biden used the official #Greek title of the town #Contsantinople, not Instanbul

#ArmenianGenocide  
 
https://t.co/tHJUiHomcN","Today and ALWAYS we must recognize the #ArmenianGenocide.

Armenian Americans have been fighting for the official recognition of the Armenian Genocide by the US Government for years! This belongs to them!  https://t.co/ax03Ifmpr5",God bless our heroes who held it down for times like this to come no matter how dark it was. #ArmenianGenocide https://t.co/ZMESqdN9pt,"A long overdue recognition. Well done, President @JoeBiden.
#ArmenianGenocide #ThankYouJoe
https://t.co/GI4m3VyCZM","You massacred Indians on the vast continent, occupied its lands and established a rogue state called America.
Despi https://t.co/1utYcR1z1D","With president Biden officially recognizing the genocide today, we are also hoping it brings awareness about Armenian prisoners of war being illegally kept by Azerbaijan 5 months after the war. Tonight we pray for them #FreeArmenianPows #FreeArmenianHostages #ArmenianGenocide https://t.co/NF3Pvn48LY",The Croats of #BiH stand side by side with people of #Armenia. We also have suffered the Ottoman terror and we both https://t.co/TMYLfbOHAz,"US President @JoeBiden's recognition of the Ottoman Empires mass killings of Armenians as genocide is a sign of #Turkeys waning influence over Washington.

 #ArmenianGenocide  #ICYMI 
https://t.co/hx3ICkTs04",Today marks recognition of the #ArmenianGenocide by @POTUS who is the first US Prez to call the genocide what it is -state-sponsored murder. A proud day for my  friends. Biden officially recognizes the massacre of Armenians in World War I as a genocide https://t.co/NgceiCYflu,"Today, we mourn those killed in the #ArmenianGenocide. Thank you President Biden for officially recognizing this da https://t.co/qraEpzc1oV",Thank you President Biden for recognizing the #ArmenianGenocide https://t.co/XCH50Cgqt8,"As Roger Stone and #ArmenianGenocide continue to trend, a friendly reminder that Mr. Stone (along with Paul Manafort) facilitated and profited off of the #KillAllButTheCrows genocide in #Somaliland in the 80s:

https://t.co/GtWz7b70Hs","LIVE: AYF member, Areni Hamparian, speaking now. #Protest #ArmenianGenocide https://t.co/SXZ3wbpXcn",A bold step&amp; a necessary step .  All nations must acknowledge the past. US has to as well for slavery and betrayals https://t.co/uIRfNovIR6,Biden's recognition of #ArmenianGenocide might have deserved a better place on the @nytimes website (especially sin https://t.co/2utA6CefnR,Sharing this again and will always remember the Yazidis who saved my ancestors from the #ArmenianGenocide  https://t.co/Ihz6Fgp1d5,31.45,Remembering Armenian Genocide that happened in 1915
#DaunteWright,STOP FUCKING MURDERING US AND CALLING IT AN ACCIDENT!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!  Theres no more time to say https://t.co/ZkNFzVLBp9,"In 2019, Officer Kimberly Potter, who was the police union president at the time, was admonished by investigators for attempting to conceal evidence after a police shooting that left a 21-year-old autistic man dead.

#DaunteWright was murdered by a crooked police officer. https://t.co/J0HILTNSum","I know my son was scared.  He was scared of police.  I could hear fear in his voice."" -- mother of #DaunteWright @GMA","Hennepin County reporting 40-50 vehicles entering Minneapolis on W Broadway Ave N, heading eastbound from the weste https://t.co/6qfqzAB0TF","Armed officers with license to kill pulling people over for minor violations is a recipe for profiling and deadly escalation.

#DaunteWright should be alive today. 

And the NYPD should be removed from traffic enforcement. My statement: https://t.co/2RTNvavyY6",I cant get over how they show the murder of my people so callously. I cant unsee it. I cant stop crying tonight. #DaunteWright,More barricade installation at the entrance to the Brooklyn Center Police Department as crowds begin to grow this a https://t.co/TRYJMVeIky,"Listen @BrklynCenterMN
Train your cops in DAY 1 GUN SAFETY procedures
Like PROPER TRIGGER DISCIPLINE

And, if a cop https://t.co/CsOoeZpHXz","The cop who killed #DaunteWright was not identified because she's the president of the local police union and is adept at getting officers cleared from this exact thing. 25 years of experience.

But sure, an accident.",All this ParksCon stuff is ridiculous and everyones calling it out as they should be. But let's also remember an of https://t.co/JJQ7ro19da,Read this entire thread...It sums up how #Black people are feeling pretty accurately #DaunteWright https://t.co/xnFfUDaldM,"Why are you a police officer who cant tell the difference between a taser and a gun? Its bullshyt

DC Vigil for https://t.co/bqFksG82WL",This face right here says it all! #DaunteWright https://t.co/o2K4Js9hV0,"I havent said much about whats going on here in Minnesota besides a few retweets, mostly because its very emotionally numbing, but in short... Im heartbroken. 

#DaunteWright is someone my older cousin watched grow up, was like a little brother to him. That HURTS.","Last night on #RolandMartinUnfiltered, we were the only show to have three Black law enforcement experts to break down the #DaunteWright shooting; the Maryland police accountability bills and the Virginia police encounter. 1/",The shooting of #DaunteWright makes it abundantly clear that the whole damn system is guilty as hell. We must #DefundThePolice and work towards abolition.,"If #DaunteWright were white, would there have been any 'confusion' between the officer's taser and gun? Would she h https://t.co/VXQ03B6Olj","SO the cop who killed Mr Wright deserves ""due process""

But Mr Wright did not?

#ExtrajudicialExecution
#DaunteWright","Every time I hear someone complain about cancel culture I think about Black life in America. 

For hundreds of ye https://t.co/e0oiclXq7z","Brooklyn Center's mayor says city manager Curt Boganey has been fired.

Boganey is the one who, at a news conferenc https://t.co/ZUmdLjDItU",117.5,#DaunteWright
#europeansuperleague,Arsenal and Tottenham fighting over last place in the new super league: #europeansuperleague https://t.co/7vqB9IAl0Z,"Seems like a lot of soccer folks are upset about the #europeansuperleague?!?

I just read their website. Sounds awesome","Big 6 clubs checking the Premier League table Monday morning 

#europeansuperleague https://t.co/lTpggsMtUy",tottenham and arsenal in the super league #europeansuperleague https://t.co/fhxrJmCNCP,"Feels like they've bottled it.

#europeansuperleague https://t.co/DL4dL3I7mk",trying to sleep tonight knowing the #europeansuperleague is now a thing https://t.co/TmTrRxpNOR,"Leeds united vs Getafe in the 2025 UEFA Champions league final #europeansuperleague

https://t.co/0ackmTQQ40","Isnt your club song Youll Never Walk Alone?
They wont remember
#europeansuperleague https://t.co/IvF6Mv2Pns","All the Big 6 trying to get back in to UEFA when they see the backlash.

#europeansuperleague https://t.co/V7HaxxNPxU","For ambitious clubs such as Everton, Villa, Leeds, Newcastle, Leicester etc its not just a case of the door being https://t.co/7eTFmWFPc3",Less than 30 minutes until the reported expected announcement of the European Super League. How are you feeling? #MUFC #europeansuperleague,"Just realized kids in 50 years are gonna say Ronaldo and Messi played against farmers and didnt do it in the Super League
#europeansuperleague https://t.co/sRcmc3cwGa","Football. Created by the poor. Stolen by the rich. 
#europeansuperleague https://t.co/iOIiMpI1YW",Messi and Ronaldo when they meet in every super league final for the next 35 years #europeansuperleague https://t.co/RexPU7H7nl,Jadon Sancho turning up to England training for the Euros &amp; World Cup after the #europeansuperleague #SuperLeague https://t.co/SLjpuONAge,"This is quality tbf  #europeansuperleague  @MarcelFCBbut2 

https://t.co/AQB0I43mDv","and we cut now too the champions league final 2025 where Stoke City play Macclesfield Town "" #europeansuperleague https://t.co/P8YQyqN9f4","Sod this; after that #europeansuperleague announcement, admins now a @KFC_Uerdingen supporter. Best damn team left https://t.co/MxOsPGSImP",Everyone waking up tomorrow morning that went to bed before the #EuropeanSuperLeague announcement https://t.co/hnHbn2fsuJ,Ronaldo after statpadding his 7th goal against Arsenal #europeansuperleague https://t.co/AX0D0sEu3q,1116.4,european super league
#myanmar,"Myeik, Tanintharyi Region: Apr 9

Dr. Min Htet Paing &amp; Ko Sithu Win (Asst. Doctor) from Myeik Hospital were abducte https://t.co/JUDMF0xZ2Q","#Apr10Coup Myitkyina

Dawn protest and the burning of a Chinese flag along with photographs Min Aung Hlaing and Xi https://t.co/NFo79wFmA0","Terrorists (#Myanmar security forces) cutting the fiber internet cable connection in Mayangone, Yangon.

#WhatsHapppeningInMyanmar #Apr11Coup #MilkTeaAlliance https://t.co/5Os4bnkPs5","#Apr10Coup Mayangone Township, Yangon

Building community solidarity: 

Take it if you need and donate if you have""

Groceries for those in need.  

#WhatsHappeningInMyanmar #Myanmar https://t.co/u7qZ9kiLUf","#Myanmar Bago

DEFIANCE across the generations

Han Thwin Khant  was killed by SAC Junta on April 9th. His father was arrested that day too. 

#WhatsHapppeningInMyanmar #MilkTeaAlliance https://t.co/WPWNhAKl6A","Bago: #Apr10Coup

About 100 Terrorists (#Myanmar security forces) raided a house. Destroyed all household items &amp; looted 3 motorcycles and USD 1,000. The house owner's cousin was abducted on Apr 9 and today Terrorists informed him to pick up the dead body from the mortuary.",Today #Myanmar's military sentenced at least 23 captured protesters to death. But the resilience and bravery of the https://t.co/hQAb67wHZM,"Mandalay  71x72 &amp; 29x30 29B Streets  Happening Now!

Terrorists (#Myanmar security forces) are inspecting guests https://t.co/lrTNDz5HW4","#Apri10Coup Monywa

The people of Monywa get their message across loudly and clearly:  

""WE WANT FEDERAL ARMY""

#WhatsHapppeningInMyanmar #Myanmar https://t.co/9q5TyyMxZG","Tedim, Chin State: just happened 12:10am

Terrorists (#Myanmar security forces) raided houses, opened gunfire and a https://t.co/IwH3xxmJl2","Thingangyun, Yangon:

4 civilians/protesters abducted by Terrorists (#Myanmar security forces) at 6:30pm. https://t.co/5qQ5SrKgCa","BREAKING: Bago

Many residents in Bago fled to rural areas yesterday as they afraid they would be shot dead or abducted. 

As of now many truckloads of Terrorists (#Myanmar security forces) &amp; prisoners transport vehicles heading to rural areas to abduct those fled from the town.","#Myanmar army spokesman Zaw Min Htun suggests that the 600 over deaths thus far were accidental shots 

Irrawaddy Burmese quoted him saying if the army had intended to shoot, that figure can be reached within hours","#Apr11Coup Bago

ABDUCTION 

SAC Junat forces abducted Dr. Wai Yan Myo Lwin - member of a medical cover team in Bago around 8:45 am. 

#WhatsHappeningInMyanmar  #myanmar https://t.co/ef1tTkyq9z","Mingala Taung Nyunt, Yangon:

Terrorists (#Myanmar security forces) abducted 2 civilians from 89th Street at 11:30a https://t.co/YQ6rm1O0Rs","Kalay, Sagaing Region:

Locals in Kalay were able to collect some artillery shells that didn't explode when Terrorists (#Myanmar security forces) fired on them. 

See photos. 

#WhatsHappeningInMyanmar #Apr10Coup #MilkTeaAlliance https://t.co/zKBpWu5Kwd","Clear, succinct message from #Myanmar lawyer friend to the international business community - if you continue business as usual, you are not only colluding with an illegitimate regime but also aiding, abetting &amp; financing their horrific abuses.  #WhatsHapppeningInMyanmar #Burma https://t.co/BThrWjBDcp","Dawei, Taninthargyi Region:

A 30-years-old Karen man was shot dead by Terrorists (#Myanmar security forces) as he https://t.co/y3ZaZiYBtD","Hundreds of expats from #Myanmar held an anti-regime protest in Fort Wayne, Indiana on Saturday. They also condemned Russia and China for supporting the military regime. (Photo: CJ)

#whatshappeninginmyanmar https://t.co/7fJlwgMDLD","South Dagon, Yangon: 10:30am

Terrorists (#Myanmar security forces) abducted two young women as they didnt find tw https://t.co/r3uAA34NV5",2373.45,There is a coup in Myanmar
#dogecoin,"Click the retweet button if you hold more than 1,000 #Dogecoin",Me waiting for the rest of the world to recognize #Dogecoins potential https://t.co/koNYoYrQOc,Its built into the code for #Dogecoin to hit $1.69 on 4/20. Very few understand this.,Doge family..... are u there?  #dogecoin,Uniting behind a cause like #Dogecoin allows the people to have a say in what they perceive as valuable #DOGE,Retweet this if youre holding #Dogecoin!!,"Whats your #Dogecoin price prediction for the end of 2021? 
#DogecoinRise 

$1.00      $5.00        $10.00",I should have bought more #Dogecoin.,#dogecoin is on the nice list! https://t.co/19Q35kPokR,"Once you realize that #Dogecoin is a long term investment, the dips wont scare you. #Dogecoins",Like this if you are holding #Dogecoin,#Dogecoin is looking so good right now! #dogetothemoon https://t.co/98YDSkmcr0,Sooo...is the new #Dogecoin floor now .07c?,I hope 7 cent is the new floor #dogecoin,#Dogecoin Community Is So Beautiful.,"The decentralized community mobilizing behind #Dogecoin is the rocket fuel that can propel this dog-themed cryptocurrency to the moon and beyond

The #DogeArmy is unstoppable",#dogecoin is about to explode,All Time High anyone? #Dogecoin,Only future #Dogecoin millionaires will retweet this.,Currently trending  Lets keep it going! #dogecoin #dogetothemoon https://t.co/9JApfl7iI4,894.9,Dogecoin is a cryptocurrency that was created as a joke — its name is a reference to a popular Internet meme. It shares many features with Litecoin.
#DaunteWright,"Covering two tragedies in the Twin Cities as yet another person of color dies at the hands of law enforcement. 

Police say an officer accidentally killed #DaunteWright. 

Wright's aunt slammed that excuse: ""Accident? An accident?!... Everybody in the world saw that gun."" https://t.co/dUzirixvWK","Protesters are at the corner of Grinstead and Bardstown in #Louisville, blocking traffic and chanting #DaunteWrights name. https://t.co/JWixqU6d94","Struggling to sleep tonight. Thinking about #DaunteWright who was killed by police in the US.

Yesterday I watched https://t.co/idEdpmmAWL",I don't know what to say. Don't have any words of insight or platitudes or enlightenment. But silence isn't an option. #DaunteWright,"Always remember that a valid response to police violence can include us working to #AbolishThePolice. Agents of a system cannot harm us if that system no longer exists.

#DaunteWright #JusticeForDaunteWright #blacklivesmatter #Fuck12","Stop calling the latest systemic murder of Black people by police a tragic mistake.

This is happening by design.

And if it was happening to affluent white kids, the police would already be defunded. 

#DaunteWright #AbolishThePolice #BlackLivesMatter","A 26 year veteran Cop, mistook her gun for a taser??... Hell naw 
#DaunteWright","The killing of Daunte Wright by a Brooklyn Center, MN police officer brings yet another moment of collective mourni https://t.co/TOslK5AVSP","#GeorgeFloyd (z""l), our neighbor, cried out for his mama as Derek Chauvin choked the life out of him. https://t.co/enqR2LfvO8","You Cannot reform the police force! 
#DaunteWright #DefundThePolice https://t.co/mbG1wPEIz9",It was a homicide. #DaunteWright,When are we going to talk about the IDENTITY of the person who shot #DaunteWright?,This is my car. Its an old black Cadillac. This is my air freshener. My wife makes fun of it. My tags have been ex https://t.co/qcri4jSeO4,"Say his name...#DaunteWright! Asé.
We send our condolences and solidarity to the Wright family &amp; the Brooklyn Center community. #BlackLivesMatter",when the system is built on racism...the result will always be racist. #DaunteWright https://t.co/qQ2enQVT8V,"Chants of F*** 12! outside the police department this Monday evening, as a 7 pm curfew approaches here in Brookly https://t.co/5wk7AmmqmA",Police make an announcement on the LRAD outside the station here in Brooklyn Center #BrooklynCenter #DaunteWright https://t.co/ajKI9mSkF7,"Policemen never seem to mistake a taser for a real gun when the apprehended party is White.

#DaunteWright","NEW: LAPD Chief Michel Moore, L.A. County Sheriff Alex Villanueva , &amp; other community leaders holding a press confe https://t.co/zQw76NnB0Q",I dont know how a police officer can mistake a taser for a GUN. One KILLS. The other does not. If you cant tell t https://t.co/cxlKjq0nox,192.2,Daunte Wright was a black man that was recently murdered by police.
